H,H,H,H,H,H,H,H,H,H
D,S,H,S,S,S,S,S,S,S
S,S,S,S,S,S,S,H,S,S
H,D,S,D,S,S,S,S,S,S
H,H,H,H,S,S,D,S,S,S
D,H,H,H,S,S,S,S,S,S
D,H,S,H,H,S,S,S,H,S
S,H,H,D,H,S,S,H,S,S
D,D,D,H,S,H,S,S,H,S
S,S,H,S,S,S,S,S,S,H
S,H,S,H,S,S,S,S,H,S
S,S,S,S,S,H,S,S,S,S
S,S,S,S,H,H,S,H,H,S
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,H,H,S,H
S,S,S,S,S,S,S,H,S,H
S,S,S,S,S,S,S,S,S,H
S,S,S,S,S,S,S,S,S,S
H,H,H,S,S,S,H,S,S,S
S,S,S,D,S,H,D,S,H,S
S,H,S,S,S,S,S,S,S,S
S,D,H,S,S,S,S,S,S,S
S,D,S,S,D,S,D,S,S,S
D,S,S,S,H,S,S,S,S,S
H,H,H,S,S,S,H,S,S,S
S,S,D,H,S,S,S,H,S,S
S,S,S,S,S,S,S,S,S,H
P,H,D,H,D,P,D,S,P,S
S,S,S,S,P,S,S,S,S,S
P,H,S,H,S,S,S,S,S,S
H,S,S,D,S,S,S,S,S,S
D,H,H,H,D,H,S,S,S,S
P,P,P,P,S,P,S,S,S,S
S,P,S,H,S,S,S,H,H,S
S,S,S,D,S,H,H,S,S,S
P,S,S,S,S,P,H,S,H,S
S,S,P,S,S,S,S,S,S,H
