H,H,H,H,H,H,H,H,H,H
D,D,D,H,D,H,D,S,S,S
D,D,D,D,D,H,H,H,H,S
D,D,H,H,D,H,H,H,S,S
D,D,D,D,D,D,H,H,S,H
D,D,D,H,D,D,H,H,H,H
H,D,H,D,D,H,H,H,H,H
D,D,H,D,D,H,H,H,H,H
D,D,H,D,H,H,H,H,H,H
S,H,H,H,H,H,H,H,S,S
S,S,S,H,H,S,H,S,S,H
S,S,S,S,S,H,S,S,H,S
S,S,S,S,S,S,H,S,S,H
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
D,H,H,D,H,D,H,H,S,H
D,D,D,D,H,D,H,S,S,S
D,H,D,D,D,H,D,H,S,S
D,D,D,D,D,S,D,S,S,S
D,D,D,S,D,S,S,S,S,S
D,S,D,H,S,S,S,S,S,S
D,D,D,S,S,S,S,S,S,S
D,H,H,H,S,D,S,S,S,S
S,S,S,S,S,S,S,S,S,S
P,P,D,P,P,H,P,P,P,S
D,D,P,P,D,P,P,H,S,S
D,P,D,D,D,P,H,H,S,S
P,D,D,D,H,H,H,H,S,H
D,D,P,D,D,H,P,H,H,H
P,P,P,P,P,H,H,S,S,S
P,P,P,P,P,P,S,S,P,S
P,P,P,S,P,D,S,S,S,S
P,P,P,S,S,P,S,S,S,S
S,S,P,P,S,S,S,S,S,S
