H,H,H,H,H,H,H,H,H,H
H,D,H,D,D,H,D,H,D,D
H,D,D,H,H,H,D,D,H,D
H,H,D,H,D,H,D,D,H,D
D,D,H,H,H,H,H,D,H,H
D,H,H,D,H,H,H,H,D,D
D,H,H,H,D,H,D,H,D,H
D,H,D,H,H,H,H,H,D,D
S,H,H,H,S,H,H,H,H,H
S,H,S,S,S,H,H,H,H,H
S,S,S,S,S,H,H,H,H,H
H,S,S,S,S,H,H,H,H,H
S,S,S,S,S,H,S,S,S,H
S,S,S,S,S,S,S,S,S,H
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,D,D,H,D
H,H,H,H,H,D,D,H,D,D
H,H,H,H,H,D,H,H,H,H
H,H,H,H,H,D,H,H,H,H
H,D,D,H,H,D,H,H,D,D
S,S,S,S,H,S,H,H,H,H
S,S,S,S,S,S,S,S,S,D
S,S,S,S,S,S,S,S,S,S
H,H,H,H,H,H,H,H,H,H
P,P,P,P,P,P,P,P,P,P
H,P,P,D,H,P,H,P,P,D
H,D,P,P,P,P,P,H,P,D
H,H,H,H,H,H,H,H,P,H
D,H,D,D,D,D,D,H,D,H
P,P,P,S,P,P,D,P,P,P
P,P,P,P,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P,P
S,S,S,S,S,S,S,P,P,S
S,S,S,S,S,S,S,S,S,S
