H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,H,H,H,H
H,H,H,H,D,H,D,H,H,H
H,H,H,H,H,D,D,D,H,H
D,D,D,D,D,D,H,H,H,D
H,D,H,D,D,H,H,H,H,H
S,D,H,D,D,D,H,H,H,H
S,S,S,H,H,H,H,H,H,H
S,S,S,S,S,H,H,H,H,S
S,S,S,S,S,S,S,S,H,S
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,H,H,H,H
H,H,H,H,H,H,H,H,H,S
H,H,H,H,H,H,H,H,S,S
H,H,H,H,H,H,H,H,S,S
H,H,H,H,H,H,H,S,S,S
H,H,H,H,H,H,S,S,S,S
H,H,H,H,H,H,H,H,H,H
P,P,P,P,P,P,P,P,P,P
H,D,P,H,H,P,P,P,H,H
P,D,P,H,P,P,P,P,H,H
D,P,P,D,P,H,P,H,H,H
P,P,P,D,P,D,H,H,H,D
S,P,P,P,H,H,P,P,H,D
S,S,S,P,P,P,P,P,P,H
S,S,S,S,S,S,S,S,S,H
S,S,S,S,S,S,S,S,S,S
S,P,S,S,S,S,S,S,S,S
